SimTime,EventType,NodeID,Details
1510485,Timeout,node-2,Node timed out
1510485,SubmissionReceived,node-2,Received submission from node 2
1510499,SubmissionReceived,node-1,Received submission from node 2
1510499,SubmissionReceived,node-3,Received submission from node 2
1510499,SubmissionReceived,node-4,Received submission from node 2
1510499,SubmissionReceived,node-5,Received submission from node 2
1510513,Timeout,node-3,Node timed out
1510585,Timeout,node-3,Node timed out
1510585,SubmissionReceived,node-3,Received submission from node 3
1510614,SubmissionReceived,node-1,Received submission from node 3
1510614,SubmissionReceived,node-4,Received submission from node 3
1510614,SubmissionReceived,node-5,Received submission from node 3
1510614,SubmissionReceived,node-2,Received submission from node 3
1510614,SubmissionReceived,node-4,Received submission from node 4
1510642,Timeout,node-4,Node timed out
1510642,Timeout,node-4,Node timed out
1510657,SubmissionReceived,node-1,Received submission from node 4
1510657,SubmissionReceived,node-2,Received submission from node 4
1510657,SubmissionReceived,node-5,Received submission from node 4
1510657,SubmissionReceived,node-3,Received submission from node 4
1560485,Timeout,node-1,Node timed out
1560685,Timeout,node-2,Node timed out
1560757,Timeout,node-1,Node timed out
1560757,HashReceived,node-1,Received hash from node 1
1560757,HashReceived,node-2,Received hash from node 1
1560757,HashReceived,node-4,Received hash from node 1
1560757,HashReceived,node-5,Received hash from node 1
1560757,HashReceived,node-3,Received hash from node 1
1560857,Timeout,node-2,Node timed out
1560857,HashReceived,node-2,Received hash from node 2
1560871,HashReceived,node-1,Received hash from node 2
1560871,HashReceived,node-4,Received hash from node 2
1560871,HashReceived,node-5,Received hash from node 2
1560871,HashReceived,node-3,Received hash from node 2
1560885,Timeout,node-3,Node timed out
1560957,Timeout,node-3,Node timed out
1560957,HashReceived,node-3,Received hash from node 3
1560986,HashReceived,node-2,Received hash from node 3
1560986,HashReceived,node-5,Received hash from node 3
1560986,HashReceived,node-4,Received hash from node 3
1560986,HashReceived,node-1,Received hash from node 3
1560986,HashReceived,node-4,Received hash from node 4
1561014,Timeout,node-4,Node timed out
1561014,Timeout,node-4,Node timed out
1561029,HashReceived,node-1,Received hash from node 4
1561029,HashReceived,node-2,Received hash from node 4
1561029,HashReceived,node-3,Received hash from node 4
1561029,HashReceived,node-5,Received hash from node 4
1610857,Timeout,node-1,Node timed out
1611057,Timeout,node-2,Node timed out
1611129,Timeout,node-1,Node timed out
1611129,Initialization,node-1,Node initialized
1611129,Registration,node-1,Registered in epoch 8
1611229,Timeout,node-2,Node timed out
1611229,Initialization,node-2,Node initialized
1611229,Registration,node-2,Registered in epoch 8
1611257,Timeout,node-3,Node timed out
1611329,Timeout,node-3,Node timed out
1611329,Initialization,node-3,Node initialized
1611329,Registration,node-3,Registered in epoch 8
1611386,Timeout,node-4,Node timed out
